node1,node2,flow,AFRC,class
7986,25808,1.0,2,0
17592,35233,1.0,2,0
4367,23537,1.0,2,0
3283,17608,-1.0,-26,1
17611,35261,1.0,2,0
11405,28674,1.0,2,0
17632,35279,1.0,2,0
17628,35274,1.0,2,0
70,17626,-1.0,-8,1
17623,35268,1.0,2,0
17612,35262,1.0,2,0
17617,29377,1.0,3,0
17587,35228,1.0,2,0
10064,17586,-1.0,5,0
17553,35197,1.0,2,0
5260,17581,-1.0,-11,1
8752,17550,-1.0,-8,1
17549,35189,1.0,2,0
17545,35183,1.0,2,0
17562,24551,1.0,2,0
17563,35202,1.0,2,0
17567,35204,1.0,2,0
11425,28696,1.0,2,0
17578,35219,1.0,2,0
17577,35217,1.0,2,0
11430,28706,1.0,2,0
2665,17574,-1.0,-39,1
17572,35208,1.0,2,0
11433,28712,1.0,2,0
17696,35364,1.0,2,0
4304,23507,1.0,2,0
17695,35360,1.0,2,0
17694,35358,1.0,2,0
4298,5520,1.0,-7,1
17686,35348,1.0,2,0
17685,35346,1.0,2,0
17700,35370,1.0,2,0
17719,25308,1.0,2,0
4207,17718,-1.0,-11,1
17716,35389,1.0,2,0
2788,11380,-1.0,-13,1
17710,35385,1.0,2,0
11389,28656,1.0,2,0
11383,28654,1.0,2,0
17707,35381,1.0,2,0
17704,35377,1.0,2,0
17679,35339,1.0,2,0
17678,35338,1.0,2,0
17677,24191,1.0,4,0
17655,35323,1.0,2,0
7893,17650,-1.0,-5,1
4326,5237,1.0,-5,1
1450,17676,-1.0,-42,1
17656,35325,1.0,2,0
17659,35327,1.0,2,0
17660,35329,1.0,2,0
17673,35335,1.0,2,0
10683,17670,-1.0,-6,1
11741,17667,-1.0,-6,1
246,11398,-1.0,-13,1
17662,35331,1.0,2,0
17661,35330,1.0,2,0
7561,7995,-1.0,-10,1
17381,34995,1.0,2,0
17378,34989,1.0,2,0
1673,17377,-1.0,-27,1
2378,17374,-1.0,-18,1
17370,21983,1.0,3,0
17369,34981,1.0,2,0
17394,35009,1.0,2,0
17410,24350,1.0,2,0
11496,28781,1.0,2,0
1531,11497,-1.0,-15,1
4473,15501,1.0,-20,1
17415,35028,1.0,2,0
2867,17409,-1.0,-7,1
17405,35022,1.0,2,0
11505,28792,1.0,2,0
17399,35013,1.0,2,0
17367,34977,1.0,2,0
2018,17366,-1.0,-59,1
4316,17333,-1.0,-5,1
17332,34929,1.0,2,0
12906,17331,-1.0,-5,1
17323,17324,1.0,2,0
11540,28818,1.0,2,0
17318,34912,1.0,2,0
5729,17359,-1.0,-15,1
6022,17357,-1.0,-10,1
17353,34968,1.0,2,0
11527,28809,1.0,2,0
2540,17336,-1.0,-27,1
11444,28725,1.0,2,0
7185,17502,-1.0,-5,1
3007,17501,-1.0,-6,1
17494,35115,1.0,2,0
2210,17490,-1.0,-41,1
14178,17489,-1.0,3,0
11466,17798,1.0,2,0
10268,17487,-1.0,5,0
2165,17485,-1.0,-36,1
17483,35107,1.0,2,0
254,17482,-1.0,-7,1
17289,17512,-1.0,-9,1
17428,35051,1.0,2,0
17533,35161,1.0,2,0
17532,28041,1.0,2,0
17530,35158,1.0,2,0
17528,35154,1.0,2,0
74,17527,-1.0,-19,1
17525,35150,1.0,2,0
17513,35133,1.0,2,0
4320,17524,-1.0,-9,1
17521,35147,1.0,2,0
17517,35141,1.0,2,0
498,11456,-1.0,-23,1
17515,35134,1.0,2,0
11469,28751,1.0,2,0
17481,35104,1.0,2,0
17450,35078,1.0,2,0
17449,35077,1.0,2,0
11482,28773,1.0,2,0
1115,17477,-1.0,-29,1
17442,35070,1.0,2,0
6933,7957,-1.0,-13,1
9484,17435,-1.0,-8,1
7004,11485,-1.0,-5,1
17429,35052,1.0,2,0
1504,17453,-1.0,-13,1
9625,17472,-1.0,-12,1
101,17471,-1.0,-230,1
17470,35094,1.0,2,0
6452,17469,-1.0,-8,1
