node1,node2,flow,betweenness,degree,class
9771,21651,1.0,2.7362840818889926e-09,2,1
2747,15035,1.0,2.7362840818889926e-09,2,1
9770,21650,1.0,2.7362840818889926e-09,2,1
3399,6001,-1.0,5.472568163777985e-09,4,1
2746,15034,1.0,2.7362840818889926e-09,2,1
12302,24732,1.0,2.7362840818889926e-09,2,1
12290,24719,1.0,2.7362840818889926e-09,2,1
9807,21696,1.0,1.6417704491333955e-08,4,1
80,12276,-1.0,0.00018386152936794648,95,0
9806,21695,1.0,2.7362840818889926e-09,2,1
5970,17546,1.0,2.7362840818889926e-09,2,1
9805,21692,1.0,5.472568163777985e-09,3,1
12279,16980,1.0,4.104426122833489e-09,5,1
12279,12280,-1.0,4.104426122833489e-09,5,1
9803,21689,1.0,2.7362840818889926e-09,2,1
9800,21686,1.0,2.7362840818889926e-09,2,1
12283,24707,1.0,2.7362840818889926e-09,2,1
9798,16492,1.0,5.472568163777985e-09,3,1
12285,24709,1.0,2.7362840818889926e-09,2,1
9797,21684,1.0,2.7362840818889926e-09,2,1
2615,5991,-1.0,5.472568163777985e-09,3,1
9791,21674,1.0,2.7362840818889926e-09,2,1
12287,24715,1.0,2.7362840818889926e-09,2,1
9789,17010,1.0,2.7362840818889926e-09,4,1
9832,21733,1.0,2.7362840818889926e-09,2,1
9871,21794,1.0,2.7362840818889926e-09,2,1
5879,17472,1.0,2.7362840818889926e-09,2,1
2899,13652,1.0,1.094513632755597e-08,4,1
12204,24609,1.0,2.7362840818889926e-09,2,1
5882,6725,1.0,1.3681420409444964e-08,4,1
9867,21791,1.0,2.7362840818889926e-09,2,1
7614,12206,-1.0,1.3681420409444964e-08,6,1
12207,24612,1.0,2.7362840818889926e-09,2,1
9865,21790,1.0,2.7362840818889926e-09,2,1
12209,24613,1.0,2.4626556737000932e-08,3,1
9864,21788,1.0,2.7362840818889926e-09,2,1
5888,17479,1.0,2.7362840818889926e-09,2,1
12210,24617,1.0,2.7362840818889926e-09,2,1
9861,21786,1.0,2.7362840818889926e-09,2,1
12211,24619,1.0,2.7362840818889926e-09,2,1
9860,21785,1.0,8.208852245666977e-09,3,1
12213,16444,1.0,5.472568163777985e-09,3,1
5878,17469,1.0,2.7362840818889926e-09,2,1
12201,24605,1.0,2.7362840818889926e-09,2,1
12190,24598,1.0,2.7362840818889926e-09,4,1
12191,24599,1.0,2.7362840818889926e-09,2,1
9884,12633,1.0,5.472568163777985e-09,3,1
5871,17460,1.0,2.7362840818889926e-09,2,1
12194,24601,1.0,2.7362840818889926e-09,2,1
