node1,node2,flow,betweenness,degree,class
123,5113,0.0311284046692607,7.256424961612022e-05,238,0
123,5410,0.0038910505836575,5.7717657295334666e-05,222,0
125,646,0.0852713178294573,6.30251364549106e-07,85,1
125,860,0.0077519379844961,6.239067238899623e-07,66,1
125,985,0.0271317829457364,8.820430177230931e-07,65,1
125,1925,0.0503875968992248,1.8988611343155402e-07,85,1
125,2627,0.0155038759689922,1.03357702114595e-07,84,1
125,3479,0.0465116279069767,5.100675988608439e-07,80,1
125,3481,0.0581395348837209,1.772245097211848e-07,85,1
125,3848,0.0077519379844961,2.618056879982163e-07,83,1
125,3853,0.003875968992248,4.016419743356726e-07,81,1
126,1329,0.01953125,3.1889203269203985e-05,259,0
126,1498,0.00390625,6.628292884878105e-05,240,0
126,1607,0.00390625,9.723048083390538e-05,295,0
126,1627,0.01171875,5.22429131626744e-05,227,0
126,1897,0.03125,3.692046079400453e-05,234,0
126,2745,0.015625,7.05719101851025e-05,299,0
126,3387,0.0078125,9.732219087181851e-05,263,0
126,3635,0.00390625,0.00013969438296608603,273,0
126,5760,0.00390625,3.489236705878106e-05,236,0
126,6205,0.05078125,4.259429403997213e-05,239,0
126,6206,0.00390625,2.0867707384830225e-05,249,0
126,6212,0.0078125,2.0847182527518862e-05,246,0
126,6334,0.01953125,3.173994164944071e-05,301,0
126,6342,0.01171875,8.14759089796111e-05,263,0
126,6446,0.00390625,9.155872874782129e-05,235,0
126,6484,0.00390625,0.00023008685385191645,276,0
126,6521,0.01171875,8.677749140801957e-05,261,0
126,6595,0.00390625,0.0002520313317366054,306,0
127,3886,0.0933363970588235,5.874765796012914e-07,31,1
127,3911,0.2424297480620155,1.163642931160609e-06,26,1
128,737,0.0049504950495049,5.165052665472288e-05,215,0
128,3721,0.0396039603960396,3.1350829425001774e-05,232,0
131,455,0.0311284046692607,1.1452576564010515e-06,58,1
131,2687,0.2762645914396887,3.4095511788563946e-07,75,1
131,3963,0.0544747081712062,3.795392868817193e-07,80,1
131,5251,0.0194552529182879,1.064983918414916e-06,89,1
132,3979,0.4838709677419355,5.921542192869337e-07,17,1
132,5724,0.2580645161290322,3.3488551431031357e-07,28,1
133,153,0.0038910505836575,1.0464676492626583e-06,92,1
133,867,0.0038910505836575,3.361637259210401e-07,89,1
133,1225,0.0077821011673151,2.3344266735904225e-07,92,1
133,1371,0.0856031128404669,0.0002112426047388496,227,0
133,1989,0.0038910505836575,2.2453067022705428e-07,87,1
133,2277,0.0116731517509727,2.6687799175848744e-07,88,1
133,2316,0.0116731517509727,2.9911565638086663e-07,93,1
133,3179,0.0038910505836575,3.295789617337744e-07,77,1
133,3181,0.0272373540856031,5.62899985393653e-07,90,1
133,3995,0.0077821011673151,4.157067023454666e-07,69,1
133,3999,0.0077821011673151,1.09603056098605e-06,98,1
133,4344,0.0194552529182879,3.2250945337441246e-07,74,1
133,4345,0.0583657587548638,3.1674513321490126e-07,88,1
133,5469,0.0233463035019455,3.882682909167231e-07,93,1
133,5471,0.0350194552529182,2.2812676334546403e-07,91,1
134,1364,0.02734375,3.8564336121701987e-07,74,1
134,1992,0.0546875,3.803533929688736e-07,94,1
134,5833,0.01171875,4.718145801145917e-07,91,1
59,135,-0.0115830115830115,8.641161871784802e-05,251,0
135,545,0.0231660231660231,2.5295798790999824e-05,270,0
135,570,0.0038610038610038,0.00024932049162025517,279,0
135,776,0.054054054054054,3.4564324833953216e-05,220,0
135,1313,0.0038610038610038,0.0004236240503732101,251,0
