node1,node2,flow,degree,class
12115,14052,1.0,3,1
9960,21877,1.0,2,1
5791,17378,1.0,2,1
12116,24499,1.0,2,1
12117,24500,1.0,2,1
12096,24484,1.0,2,1
5418,9967,-1.0,4,1
648,3067,-1.0,41,0
7167,9975,-1.0,3,1
12083,18728,1.0,3,1
12084,24474,1.0,3,1
9979,21902,1.0,4,1
682,5770,-1.0,29,0
12085,24477,1.0,3,1
3080,3439,1.0,4,1
12086,24478,1.0,4,1
9978,21901,1.0,3,1
9977,21900,1.0,3,1
9976,21899,1.0,3,1
5774,17362,1.0,3,1
12093,24483,1.0,2,1
6129,9974,-1.0,5,1
9973,16798,1.0,4,1
11654,12089,-1.0,5,1
6021,12091,-1.0,5,1
12092,24481,1.0,2,1
3074,6395,1.0,5,1
3070,6054,1.0,3,1
12187,24595,1.0,3,1
12304,24738,1.0,2,1
467,9817,-1.0,26,0
12263,24681,1.0,2,1
12264,24683,1.0,3,1
2797,8476,1.0,5,1
12265,22477,1.0,5,1
9816,21704,1.0,2,1
2796,12852,1.0,3,1
12267,24686,1.0,2,1
8770,12268,-1.0,4,1
9815,21702,1.0,2,1
12269,15192,1.0,4,1
12270,19859,1.0,3,1
2790,15057,1.0,4,1
12271,24688,1.0,2,1
12272,21429,1.0,5,1
9812,14539,1.0,5,1
2787,4703,1.0,5,1
5963,17541,1.0,2,1
9809,21698,1.0,2,1
12260,15214,1.0,3,1
7730,9828,-1.0,4,1
9827,21731,1.0,3,1
5925,17507,1.0,2,1
5926,17509,1.0,2,1
5927,7123,1.0,4,1
5933,16458,1.0,5,1
9824,21724,1.0,3,1
2818,15072,1.0,3,1
12248,24666,1.0,3,1
5701,12249,-1.0,5,1
12250,24667,1.0,2,1
12251,24668,1.0,2,1
9821,21718,1.0,3,1
12252,24670,1.0,2,1
12254,24671,1.0,3,1
5942,17521,1.0,2,1
5945,15274,1.0,4,1
5947,17527,1.0,3,1
9818,21708,1.0,3,1
5952,17532,1.0,5,1
12259,24680,1.0,2,1
9810,21699,1.0,2,1
12274,24693,1.0,3,1
9886,11114,1.0,4,1
9782,10525,1.0,4,1
2757,15040,1.0,2,1
12291,20124,1.0,3,1
9781,21663,1.0,2,1
9780,21662,1.0,4,1
9779,21661,1.0,4,1
9778,12535,1.0,3,1
9777,21660,1.0,2,1
12295,24724,1.0,2,1
9775,21658,1.0,2,1
9774,21656,1.0,2,1
9773,21655,1.0,2,1
12297,24728,1.0,2,1
12298,24729,1.0,3,1
12300,24730,1.0,2,1
12301,24731,1.0,2,1
9771,21651,1.0,2,1
2747,15035,1.0,2,1
9770,21650,1.0,2,1
3399,6001,-1.0,4,1
2746,15034,1.0,2,1
12302,24732,1.0,2,1
10,9768,-1.0,34,0
12290,24719,1.0,2,1
9807,21696,1.0,4,1
9784,21668,1.0,3,1
80,12276,-1.0,95,0
9806,21695,1.0,2,1
5970,17546,1.0,2,1
12277,24701,1.0,5,1
9805,21692,1.0,3,1
5976,6738,1.0,5,1
12279,16980,1.0,5,1
12279,12280,-1.0,5,1
9803,21689,1.0,2,1
5475,5984,-1.0,4,1
9800,21686,1.0,2,1
12283,24707,1.0,2,1
5986,17557,1.0,5,1
9798,16492,1.0,3,1
12285,24709,1.0,2,1
9797,21684,1.0,2,1
2615,5991,-1.0,3,1
9793,21676,1.0,5,1
9791,21674,1.0,2,1
12287,24715,1.0,2,1
9789,17010,1.0,4,1
9788,21671,1.0,4,1
3047,9786,-1.0,4,1
2726,2832,-1.0,5,1
12246,24652,1.0,3,1
9832,21733,1.0,2,1
9871,21794,1.0,2,1
5879,17472,1.0,2,1
12203,17124,1.0,4,1
2899,13652,1.0,4,1
12204,24609,1.0,2,1
5882,6725,1.0,4,1
5883,17476,1.0,5,1
9867,21791,1.0,2,1
12207,24612,1.0,2,1
9865,21790,1.0,2,1
5885,9440,1.0,5,1
9283,12208,-1.0,5,1
12209,24613,1.0,3,1
9864,21788,1.0,2,1
5888,17479,1.0,2,1
12210,24617,1.0,2,1
9861,21786,1.0,2,1
12211,24619,1.0,2,1
9860,21785,1.0,3,1
