node1,node2,flow,degree,class
376,108990,-0.0579158412934021,61,0
162,9280,0.1443139678615574,78,0
4,235,-0.1228530277454051,43,0
234,377,0.1529348758744902,40,0
35,16521,-0.0647324616286808,323,0
55,1275,-0.0173703470951416,57,0
57,78,-0.1399631792575361,126,0
20,2713,-0.0175591909165163,183,0
128,526,0.0904598643542049,150,0
378,21059,0.3855820105820106,12,0
379,109002,0.3077073898761403,31,0
139,109003,-0.2262536873156342,27,0
380,8003,0.2183140512979786,38,0
255,477,0.0432662591967939,128,0
138,381,0.0326002678508493,136,0
285,48285,0.1037675892806218,44,0
212,299,0.070357115662834,151,0
35,21049,0.013855981765288,314,0
382,109004,-0.1984364647513316,12,0
129,2220,0.0523554330007937,228,0
383,17914,0.1337283392530405,35,0
152,101207,-0.0156636009167485,53,0
384,6661,0.0386433375107423,49,0
28,343,-0.0159161674563903,453,0
385,551,0.0866729657647802,122,0
386,40616,0.0448579705963672,22,0
387,84266,0.0396333356490409,39,0
193,388,0.290435335239911,38,0
35,389,0.0136910296014155,326,0
390,6481,-0.060300287766217,85,0
391,13259,0.1690091653501196,54,0
392,6592,0.2675419422760855,58,0
170,109005,-0.1720007694445038,30,0
393,109006,0.3875373452838241,19,0
153,2289,-0.6398872445384073,26,0
394,109007,0.5562384757221881,16,0
395,1943,-0.0622350229147066,35,0
396,485,-0.0468552835341053,81,0
397,25594,-0.4509217737917289,34,0
299,16574,-0.0668402252189664,134,0
20,385,0.0155848551354658,185,0
314,398,0.1011401522299804,57,0
79,399,-0.1256288429290106,175,0
400,15134,-0.1345362336267802,49,0
401,714,-0.0760312861134767,229,0
24,3274,0.011424132046155,100,0
74,87,0.028108548508398,259,0
402,91737,-0.3983126110124333,24,0
403,69811,0.276115631618695,89,0
404,1042,-0.1483031022817246,22,0
235,20021,0.125809175344779,53,0
107,1950,0.0224943196162585,165,0
32,23584,0.0249097274613952,54,0
405,976,-0.033898045679303,60,0
216,406,0.0480696442089326,79,0
304,407,0.1684772004588976,75,0
117,408,-0.2585361317940827,25,0
60,8470,0.2287946900782737,35,0
409,1117,-0.0063344654045658,54,0
101,410,0.0962045652392938,103,0
411,5552,0.1847984965546043,41,0
270,412,0.0597327213822894,30,0
272,413,-0.0092815123202369,163,0
3,8,0.0010713584608498,213,0
306,414,-0.0649030960036838,48,0
415,6195,-0.084543908884998,71,0
416,1258,-0.0590846793041947,103,0
306,417,-0.1552215074771114,45,0
418,102971,-0.3542836027540788,64,0
35,419,-0.0820052321501024,335,0
420,33771,-0.1428836535232674,28,0
184,194,-0.0549884585769317,121,0
421,1356,0.2641323346677967,70,0
422,2964,0.5100558659217878,23,0
423,6016,-0.1468578226473468,55,0
239,424,0.0211953979624122,121,0
28,1864,-0.0062618407004879,288,0
425,8860,-0.0138141892082555,102,0
426,27157,0.3520129012060298,33,0
427,18316,0.0092213025007664,30,0
428,42176,-0.6461080356107981,90,0
107,3225,-0.0063062879906006,158,0
429,4453,0.2544708296687188,45,0
20,529,0.0105245980865506,201,0
430,109008,0.3420993397358943,32,0
192,255,-0.0694089113580478,105,0
431,20320,-0.0727377101972808,17,0
432,1275,0.1742069761789013,47,0
433,109009,-0.7768295836565813,39,0
434,28397,0.0074520112067045,30,0
62,102,-0.1247017077634039,37,0
435,1943,0.0602181299735581,29,0
8,2365,-0.0247991467498312,219,0
436,9797,-0.0080486110816404,49,0
254,373,-0.9490586932447398,22,0
233,17900,-0.0156599521837222,165,0
437,1170,-0.4205026675214068,39,0
438,27674,0.7421602787456446,25,0
439,456,0.0489497541977909,68,0
440,2833,-0.2079280840463555,36,0
114,1679,-0.003126854472273,55,0
35,441,-0.0840578812789452,322,0
393,442,-0.2119540108504824,28,0
443,57371,-0.1630055342699021,20,0
444,21768,0.4528907922912205,70,0
9,526,0.0179278256607254,193,0
170,109010,-0.9289617486338798,24,0
445,109011,-1.0,12,0
401,672,-0.1868351063829787,174,0
264,1638,0.0879605489217374,171,0
446,109012,0.1505874591038085,49,0
447,109013,0.2045233463035019,18,0
448,1514,-0.086162078832274,74,0
35,1786,0.0125813514080916,316,0
138,3589,0.0294988369634172,146,0
56,78,0.0097905528076518,120,0
35,449,0.0125363644543082,330,0
450,45794,-0.0415034147399067,26,0
18,109014,0.0626923943238981,48,0
2,318,-0.114705026223294,201,0
451,1162,0.0787416167993843,36,0
452,84106,0.7035472972972973,11,0
453,109015,-0.4394163528778913,79,0
339,454,0.0839450659234963,77,0
455,526,0.187791207243356,162,0
138,456,0.0292521322337351,190,0
9,91,-0.0324269417096421,205,0
457,109001,-0.3949305679188178,92,0
