node1,node2,flow,betweenness,degree,class
319,7605,0.2196908879843034,5.2875364691730426e-05,16,0
79,129,-0.0765127451694194,3.319796164650148e-05,155,0
321,108994,0.1484022616098088,1.1422424566313326e-05,21,0
107,322,0.0170118424756316,2.604026282407937e-05,151,0
323,475,0.2839454504624054,1.4366257152103875e-05,27,0
107,324,0.0060436783594209,3.101958954247317e-05,185,0
325,108995,-0.1058452586519843,1.1992761996608684e-05,197,0
35,9007,-0.087729969930996,4.370023744138774e-05,334,0
327,28689,0.2915214866434378,4.434963750910056e-05,174,0
32,284,0.0436153215010579,1.7577089450975155e-05,86,0
328,411,0.2205190238245022,4.29879229115256e-05,50,0
284,3194,-0.1433255379870698,8.286361656754284e-06,70,0
55,7652,0.0826968875749363,3.9685067839219455e-05,45,0
120,108996,0.2140425531914893,2.1527750707880437e-05,22,0
329,36374,-0.0418046187986937,8.453716823644721e-06,22,0
35,17799,-0.0596106090982249,2.6006749920470714e-05,323,0
125,331,0.0091866230427594,5.438522777007544e-05,33,0
273,332,-0.0408487014791278,0.0001710043845491321,45,0
333,10043,-0.0894497458307321,0.00023133089007600853,68,0
334,73603,-0.3353434623947121,1.7739568017296533e-05,26,0
335,11166,-0.7473841554559043,3.774282231156654e-05,21,0
236,337,-0.0827846718566327,0.00013151161189836095,520,0
28,42604,-0.0318808186151958,9.821756805049708e-06,255,0
340,84510,0.1080401552024657,2.0656521101453915e-05,41,0
319,341,-0.2055934006715397,2.8119161163214945e-05,14,0
342,22058,-0.2668473465057324,7.802542129008095e-06,58,0
343,529,0.1055733458995673,8.043134505723109e-06,288,0
345,979,-0.1611482629261132,4.867911464275925e-05,43,0
107,346,0.0036657409745013,5.531428859632499e-05,157,0
243,487,-0.329059585831658,9.261271190342303e-06,36,0
285,2054,0.0689490223019477,6.436280565277864e-06,29,0
24,25498,-0.040484766626543,0.00017307096594723173,100,0
272,48475,0.041573193769854,0.0001531935894921489,165,0
152,6648,-0.1801548713407516,6.841168885260252e-05,60,0
316,336,0.0439201335504157,1.1914333717583967e-05,123,0
324,23874,-0.4038442272306803,0.00010474553993452507,74,0
348,13566,0.9061338289962824,1.5884818469239875e-05,11,0
12,52792,-0.0893838334414163,5.016475818228556e-05,31,0
306,350,-0.2817966369098037,1.9413102590794233e-05,57,0
352,9797,-0.0510233169669978,1.7591526175825958e-05,67,0
64,250,0.0500242778417371,1.1299516887976427e-05,134,0
98,353,0.0382374991052625,1.8533671621226377e-05,149,0
63,3697,-0.0700020200857581,1.9929981137726902e-05,92,0
138,357,0.0335870867695777,0.0007110226577597711,170,0
358,477,-0.0209141366939743,1.29866417279013e-05,98,0
359,108999,-0.2343218585033429,3.424648796781957e-05,18,0
360,84266,0.1327535280603872,1.0189333956588649e-05,30,0
107,5647,0.0239585963140621,3.8387500912711284e-05,154,0
107,206,-0.0176683360031856,2.9102214841587544e-05,143,0
362,109000,0.0257886830245367,6.230406206395527e-05,40,0
118,3416,0.0126105167567126,3.6860271931152214e-05,86,0
364,10989,-0.5604982206405694,2.1527750707880437e-05,24,0
