node1,node2,flow
2746,15034,1.0
12302,24732,1.0
9768,10,1.0
12290,24719,1.0
12289,130,1.0
9807,21696,1.0
9784,21668,1.0
12276,80,1.0
9806,21695,1.0
5970,17546,1.0
12277,24701,1.0
9805,21692,1.0
5976,6738,1.0
12279,16980,1.0
12280,12279,1.0
9803,21689,1.0
5984,5475,1.0
9800,21686,1.0
12283,24707,1.0
5986,17557,1.0
9798,16492,1.0
12285,24709,1.0
9797,21684,1.0
5991,2615,1.0
9793,21676,1.0
9791,21674,1.0
12287,24715,1.0
9789,17010,1.0
9788,21671,1.0
9786,3047,1.0
2832,2726,1.0
12246,24652,1.0
9832,21733,1.0
9871,21794,1.0
5879,17472,1.0
12203,17124,1.0
2899,13652,1.0
12204,24609,1.0
5882,6725,1.0
12205,2576,1.0
5883,17476,1.0
9867,21791,1.0
12206,7614,1.0
12207,24612,1.0
9865,21790,1.0
5885,9440,1.0
12208,9283,1.0
12209,24613,1.0
9864,21788,1.0
5888,17479,1.0
5889,10773,1.0
12210,24617,1.0
9862,7007,1.0
9861,21786,1.0
12211,24619,1.0
9860,21785,1.0
12213,16444,1.0
9869,11565,1.0
5878,17469,1.0
2836,9303,1.0
12201,24605,1.0
12189,6369,1.0
12190,24598,1.0
9885,5911,1.0
5863,2842,1.0
12191,24599,1.0
5866,10334,1.0
5868,8585,1.0
9884,12633,1.0
9882,3739,1.0
9881,21804,1.0
5871,17460,1.0
12194,24601,1.0
12195,3396,1.0
9879,21801,1.0
9878,13817,1.0
9877,11434,1.0
5873,8104,1.0
2911,12593,1.0
5876,17465,1.0
9874,9279,1.0
12198,24603,1.0
12200,24604,1.0
9872,5717,1.0
9858,21781,1.0
9856,21778,1.0
12214,6652,1.0
5891,17484,1.0
9848,21758,1.0
12234,24638,1.0
2855,15088,1.0
12236,24639,1.0
9846,8815,1.0
9845,8814,1.0
9844,9845,1.0
9843,21745,1.0
5917,6375,1.0
5918,12650,1.0
2843,15083,1.0
9840,21741,1.0
9838,21740,1.0
9836,21738,1.0
5920,11459,1.0
12240,7149,1.0
12241,13737,1.0
9835,21737,1.0
2840,3097,1.0
12242,24648,1.0
9834,14093,1.0
12243,24650,1.0
12245,3387,1.0
2858,15092,1.0
2859,15093,1.0
12232,24637,1.0
12224,24634,1.0
12215,24622,1.0
12216,24626,1.0
5893,1960,1.0
9855,21777,1.0
12217,10676,1.0
12219,957,1.0
5894,17488,1.0
12221,24633,1.0
12223,7360,1.0
5899,17490,1.0
9853,21776,1.0
12231,6887,1.0
9852,3403,1.0
9851,15878,1.0
2868,15098,1.0
12226,17011,1.0
9850,10452,1.0
2865,454,1.0
5908,17498,1.0
12230,4577,1.0
2861,15094,1.0
5910,10125,1.0
12569,25046,1.0
12571,10920,1.0
6306,7531,1.0
9248,17240,1.0
12892,25459,1.0
12893,25181,1.0
12895,25461,1.0
12896,25463,1.0
9240,15008,1.0
9239,16004,1.0
12899,5950,1.0
6716,6610,1.0
6717,6940,1.0
6718,18244,1.0
6720,18245,1.0
12901,7526,1.0
12902,25469,1.0
9237,20993,1.0
9235,20992,1.0
12903,24775,1.0
12904,25014,1.0
12905,19765,1.0
12906,25472,1.0
12907,16252,1.0
12908,25475,1.0
9230,19097,1.0
9229,9139,1.0
6710,18229,1.0
9250,21005,1.0
12909,25477,1.0
9251,16848,1.0
6699,18223,1.0
6700,1580,1.0
12875,24478,1.0
12876,3687,1.0
12877,10156,1.0
12878,4340,1.0
1966,2510,1.0
12879,25442,1.0
12880,5345,1.0
9258,21008,1.0
12881,3772,1.0
12882,18317,1.0
9255,21006,1.0
12883,25455,1.0
6705,13191,1.0
12884,5962,1.0
1960,14594,1.0
12886,6570,1.0
12887,14535,1.0
12888,24329,1.0
12889,25458,1.0
12890,4644,1.0
6709,18227,1.0
9228,20989,1.0
6728,18257,1.0
12939,25520,1.0
9204,20961,1.0
12924,25500,1.0
6749,18286,1.0
9200,20950,1.0
12925,25503,1.0
12926,25504,1.0
12927,8158,1.0
12928,25505,1.0
12929,9922,1.0
9196,7183,1.0
6752,3981,1.0
12931,25507,1.0
12932,4209,1.0
12933,25509,1.0
9194,6144,1.0
12934,25513,1.0
12935,19431,1.0
9193,555,1.0
9192,10337,1.0
12936,25516,1.0
1884,14567,1.0
9190,20945,1.0
9189,20944,1.0
6758,18295,1.0
9201,11704,1.0
12923,25499,1.0
12911,25480,1.0
6742,18278,1.0
9227,20988,1.0
1923,1722,1.0
12912,25482,1.0
12914,25485,1.0
1917,14577,1.0
12915,4830,1.0
6732,18265,1.0
6733,13457,1.0
12916,25486,1.0
6734,2189,1.0
12917,19259,1.0
12918,25489,1.0
9215,20975,1.0
9212,16012,1.0
12920,25496,1.0
9210,20970,1.0
6738,12568,1.0
9209,20969,1.0
12922,25498,1.0
9208,20967,1.0
9207,20963,1.0
6740,3978,1.0
6741,18277,1.0
9261,21011,1.0
12874,4785,1.0
12873,20575,1.0
6643,18175,1.0
12826,5816,1.0
