node1,node2,flow,AFRC,class
30110,50185,1.0,-11,1
49242,94258,1.0,2,0
42618,86362,1.0,2,0
4646,15279,-1.0,-4,1
30104,72593,1.0,2,0
49241,94255,1.0,2,0
41438,56680,1.0,2,0
11909,49248,-1.0,-18,1
14935,51925,-1.0,-12,1
49246,94263,1.0,2,0
7179,51926,-1.0,-9,1
9659,49244,-1.0,-16,1
37370,80324,1.0,2,0
49310,94336,1.0,2,0
49361,51654,1.0,2,0
51837,73580,1.0,2,0
359,30231,-1.0,-22,1
28963,37354,-1.0,4,0
18166,30230,-1.0,-15,1
14869,45662,1.0,-5,1
23353,42564,-1.0,-6,1
34998,77700,1.0,2,0
49360,94387,1.0,2,0
1664,51840,-1.0,-46,1
40188,83376,1.0,2,0
14862,59866,1.0,2,0
23513,51834,-1.0,-9,1
49365,94393,1.0,2,0
31820,37351,-1.0,-4,1
4268,7270,-1.0,-10,1
23041,49364,-1.0,-5,1
42565,86287,1.0,2,0
25879,28102,1.0,-4,1
41476,84952,1.0,2,0
30227,72702,1.0,2,0
3590,30225,-1.0,-21,1
14902,18616,1.0,-7,1
49351,94381,1.0,2,0
30213,51038,1.0,4,0
7240,9362,1.0,-5,1
14915,59906,1.0,2,0
41468,84942,1.0,2,0
49358,94386,1.0,2,0
3218,30224,-1.0,-24,1
28904,49356,-1.0,-7,1
49355,94383,1.0,2,0
5645,30222,-1.0,-12,1
25883,68559,1.0,2,0
672,7253,-1.0,-92,1
14889,36291,1.0,-6,1
32231,74818,1.0,3,0
11095,40189,-1.0,-10,1
14917,21722,1.0,4,0
28149,51821,-1.0,-7,1
183,41485,-1.0,-127,1
16482,45057,-1.0,-4,1
41484,60761,1.0,3,0
14785,15154,1.0,-18,1
45058,89118,1.0,2,0
34726,77400,1.0,2,0
10973,14787,-1.0,-9,1
51824,97419,1.0,2,0
7322,32692,1.0,4,0
32213,74803,1.0,2,0
13081,37348,-1.0,-5,1
49387,94414,1.0,2,0
51820,97416,1.0,2,0
14757,59817,1.0,2,0
6411,14791,-1.0,-5,1
49372,49834,1.0,3,0
17296,49370,-1.0,-4,1
25794,25875,-1.0,-7,1
51833,97431,1.0,2,0
5736,34994,-1.0,-10,1
9012,30240,-1.0,-14,1
30243,72715,1.0,2,0
41483,84957,1.0,2,0
51828,97421,1.0,2,0
3698,38589,-1.0,-34,1
51829,97424,1.0,2,0
16578,30246,-1.0,-7,1
49377,94403,1.0,2,0
49376,94402,1.0,2,0
32222,36231,1.0,4,0
6938,25885,-1.0,-6,1
42587,86310,1.0,2,0
42578,86299,1.0,2,0
36651,79547,1.0,2,0
3288,45066,-1.0,-4,1
8763,38585,-1.0,-10,1
4379,49322,-1.0,-5,1
22944,51870,-1.0,-5,1
26732,44947,1.0,2,0
41456,84922,1.0,2,0
51871,58837,1.0,3,0
30184,72663,1.0,2,0
30182,72662,1.0,2,0
10531,32244,-1.0,-6,1
568,41458,-1.0,-14,1
15662,49323,-1.0,-16,1
8815,51865,-1.0,-4,1
15006,59974,1.0,2,0
15007,42085,1.0,2,0
25271,48433,1.0,-4,1
20904,45065,-1.0,-6,1
25890,68563,1.0,2,0
42577,86298,1.0,2,0
51868,57874,1.0,-4,1
25891,68564,1.0,2,0
49324,94361,1.0,2,0
49320,94350,1.0,2,0
15032,59991,1.0,2,0
2028,30179,-1.0,-14,1
32251,74854,1.0,2,0
20897,49314,-1.0,-5,1
49313,94340,1.0,2,0
51876,93947,1.0,2,0
15064,60016,1.0,2,0
42586,86308,1.0,2,0
22389,42580,-1.0,-7,1
12109,35004,-1.0,-6,1
41453,84920,1.0,2,0
49318,94349,1.0,2,0
42581,86303,1.0,2,0
16566,42582,-1.0,-6,1
32249,61065,1.0,2,0
15003,18323,1.0,-14,1
39679,82865,1.0,3,0
15766,49347,-1.0,-6,1
25002,45064,-1.0,-4,1
51856,97443,1.0,2,0
14943,59922,1.0,2,0
14947,59928,1.0,2,0
4505,49346,-1.0,-9,1
14997,28212,1.0,-5,1
20979,37361,-1.0,-7,1
7227,25887,-1.0,-9,1
23761,49345,-1.0,-7,1
28869,41462,-1.0,-10,1
37362,80316,1.0,2,0
41464,84933,1.0,2,0
45063,89122,1.0,2,0
17639,39998,-1.0,-6,1
30209,72685,1.0,2,0
51850,97442,1.0,2,0
14931,59913,1.0,2,0
10147,51853,-1.0,-12,1
14933,59915,1.0,2,0
41465,64884,1.0,3,0
36058,39041,-1.0,-5,1
14962,59944,1.0,2,0
14935,30200,-1.0,-14,1
3031,14984,-1.0,3,0
763,14986,-1.0,-15,1
11568,51863,-1.0,-15,1
11389,42573,-1.0,-4,1
24246,49330,-1.0,-13,1
32243,74844,1.0,2,0
9396,49336,-1.0,-10,1
31962,49340,-1.0,3,0
15695,42572,-1.0,-7,1
32236,74835,1.0,2,0
7137,49339,-1.0,-5,1
8285,30204,-1.0,-14,1
37363,80318,1.0,2,0
49337,94373,1.0,2,0
32239,74837,1.0,2,0
13643,44799,-1.0,-18,1
789,51943,-1.0,-14,1
1679,32436,-1.0,-33,1
28253,52020,-1.0,-16,1
32385,46556,1.0,4,0
49094,94088,1.0,2,0
17428,52021,-1.0,-8,1
3261,44774,-1.0,-122,1
25925,68602,1.0,2,0
10561,52019,-1.0,-5,1
14712,29985,-1.0,2,0
1781,49100,-1.0,-17,1
49099,94092,1.0,2,0
25923,63760,1.0,3,0
25639,42667,-1.0,-12,1
52015,97647,1.0,2,0
52016,97648,1.0,2,0
49096,94089,1.0,-5,1
3504,36599,-1.0,-5,1
49076,94076,1.0,2,0
22260,42670,-1.0,-5,1
17303,39085,-1.0,-9,1
49074,94075,1.0,2,0
52025,97654,1.0,2,0
29161,45094,-1.0,-4,1
6868,15693,-1.0,-9,1
8036,49073,-1.0,-11,1
8372,37423,-1.0,-8,1
52026,97655,1.0,2,0
26958,45093,-1.0,-7,1
